en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
The Queen Elizabeth Diamond Jubilee Trust,,,,,,The Queen Elizabeth Diamond Jubilee Trust,GB-CHC-1145640,60,United Kingdom,true,true
Charity Projects Ltd (Comic Relief),,,,,,Charity Projects Ltd (Comic Relief),GB-CHC-326568,60,United Kingdom,,true
European Investment Bank,,,,,,European Investment Bank,XM-DAC-918-3,40,"Europe, regional",true,true
Plan International Finland,,,,,,Plan International Finland,FI-PRO-1498487-2,21,Finland,,true
Publish What You Fund,,,,,,Publish What You Fund,GB-COH-07676886,21,United Kingdom,true,true
Amref Health Africa Malawi,,,,,,Amref Health Africa Malawi,MW-NBM-R1527,22,Malawi,true,true
Itad,,,,,,Itad,GB-COH-1869600,70,United Kingdom,true,true
Cardno Emerging Markets,,,,,,Cardno Emerging Markets,GB-COH-05543952,70,United Kingdom,,true
Food and Agriculture Organization of the United Nations (FAO),,,,,,Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,40,,true,true
IMC WORLDWIDE,,,,,,IMC WORLDWIDE,GB-COH-02651349,70,United Kingdom,,true
International Labour Organization,,,,,,International Labour Organization,XM-DAC-41302,40,Switzerland,,true
ChildHope UK,,,,,,ChildHope UK,GB-CHC-328434,21,United Kingdom,,true
Oxfam IBIS,,,,,,Oxfam IBIS,DK-CVR-88136411,21,Denmark,true,true
Conflict Dynamics International,,,,,,Conflict Dynamics International,US-EIN-56-2460366,21,United States,true,true
Muslim Aid,,,,,,Muslim Aid,GB-CHC-295224,21,United Kingdom,true,true
CREA USA,,,,,,CREA USA,US-EIN-31-1812979,21,India,true,true
Link Community Development Scotland,,,,,,Link Community Development Scotland,GB-SC-SC037959,21,United Kingdom,,true
MapAction,,,,,,MapAction,GB-CHC-1126727,21,United Kingdom,,true
Akvo Foundation,,,,,,Akvo Foundation,NL-KVK-27327087,21,Netherlands,true,true
Arab foundation for freedoms and equality,,,,,,Arab foundation for freedoms and equality,LB-MOI-18291,23,Lebanon,,true
"Lithuania, Ministry of Foreign Affairs",,,,,,"Lithuania, Ministry of Foreign Affairs",XM-DAC-84,10,Lithuania,,true
The Asia Foundation,,,,,,The Asia Foundation,US-EIN-941191246,21,United States,,true
IUCN Nederlands Comité,,,,,,IUCN Nederlands Comité,NL-KVK-41180885,21,Netherlands,true,true
Fauna & Flora International,,,,,,Fauna & Flora International,GB-COH-0277068,21,United Kingdom,,true
CRANE,,,,,,CRANE,UG-NGB-5914-9186,22,Uganda,true,true
UK - Department of Health (DH),,,,,,UK - Department of Health (DH),GB-GOV-10,10,United Kingdom,,true
Aasaman Nepal,,,,,,Aasaman Nepal,NP-SWC-27693,22,Nepal,,true
Disasters Emergency Committee,,,,,,Disasters Emergency Committee,GB-CHC-1062638,22,United Kingdom,true,true
Burns Violence Survivors - Nepal,,,,,,Burns Violence Survivors - Nepal,NP-SWC-27288,22,Nepal,true,true
Maxwell Stamp PLC,,,,,,Maxwell Stamp PLC,GB-COH-00637978,70,United Kingdom,true,true
Samaritan's Purse UK,,,,,,Samaritan's Purse UK,GB-CHC-1001349,21,United Kingdom,true,true
Catholic Agency For Overseas Development (CAFOD),,,,,,Catholic Agency For Overseas Development (CAFOD),GB-CHC-285776,21,United Kingdom,,true
Palliative Care Support Trust,,,,,,Palliative Care Support Trust,MW-RG-2977,22,Malawi,true,true
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),,,,,,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),XM-DAC-41127,40,Switzerland,,true
Network of International Development Organisations in Scotland,,,,,,Network of International Development Organisations in Scotland,GB-SC-035314,23,United Kingdom,,true
Defence for Children International Netherlands - ECPAT Netherlands,,,,,,Defence for Children International Netherlands - ECPAT Netherlands,NL-KVK-41208813,22,Netherlands,true,true
Water & Sanitation for the Urban Poor (WSUP),,,,,,Water & Sanitation for the Urban Poor (WSUP),GB-COH-5419428,30,United Kingdom,true,true
iPartner India,,,,,,iPartner India,GB-CHC-1114944,21,United Kingdom,true,true
Agriterra,,,,,,Agriterra,NL-KVK-41048542,22,Netherlands,,true
Shtrii Shakti,,,,,,Shtrii Shakti,NP-SWC-00589,22,Nepal,,true
"Ministry of Foreign Affairs and Cooperation, Spain",,,,,,"Ministry of Foreign Affairs and Cooperation, Spain",ES-DIR3-E04585801-009-001091,,,true,false
Alcis Holdings Limited,,,,,,Alcis Holdings Limited,GB-COH-5155300,70,United Kingdom,,true
World Vision Netherlands,,,,,,World Vision Netherlands,NL-KVK-41179943,60,Netherlands,true,true
International HIV/AIDS Alliance,,,,,,International HIV/AIDS Alliance,GB-CHC-1038860,21,United Kingdom,true,true
Orbis Charitable Trust,,,,,,Orbis Charitable Trust,GB-CHC-1061352,21,United Kingdom,true,true
International Union for Conservation of Nature and Natural Resources,,,,,,International Union for Conservation of Nature and Natural Resources,XM-DAC-30011,15,Switzerland,true,true
UNITAID,,,,,,UNITAID,XM-DAC-30010,40,,true,true
PONT,,,,,,PONT,GB-CHC-1125948,21,United Kingdom,,true
Stars Foundation,,,,,,Stars Foundation,GB-CHC-1087997,60,United Kingdom,true,true
African Centre for Global Health and Social Transformation,,,,,,African Centre for Global Health and Social Transformation,UG-RSB-73316,21,Uganda,,true
interburns,,,,,,interburns,GB-CHC-1122299,21,United Kingdom,true,true
HE Foundation,,,,,,HE Foundation,NL-KVK-58183167,60,Netherlands,,true
Delivery Associates Ltd,,,,,,Delivery Associates Ltd,GB-COH-08333641,70,United Kingdom,,true
Mifumi UK,,,,,,Mifumi UK,GB-CHC-1038785,21,United Kingdom,true,true
SOS Sahel International UK,,,,,,SOS Sahel International UK,GB-COH-2100867,21,United Kingdom,,true
mothers2mothers,,,,,,mothers2mothers,ZA-NPO-025-359,21,South Africa,true,true
Carers Worldwide,,,,,,Carers Worldwide,GB-CHC-1150214,21,United Kingdom,true,true
Water for People,,,,,,Water for People,US-EIN-84-1166148,21,United States,true,true
Heifer Nederland,,,,,,Heifer Nederland,NL-KVK-20093733,22,Netherlands,true,true
The Open University,,,,,,The Open University,GB-CHC-000391,80,United Kingdom,true,true
AbleChildAfrica,,,,,,AbleChildAfrica,GB-CHC-326859,21,United Kingdom,true,true
Health Poverty Action,,,,,,Health Poverty Action,GB-CHC-1837621,21,United Kingdom,,true
European Commission - Humanitarian Aid & Civil Protection,,,,,,European Commission - Humanitarian Aid & Civil Protection,XI-IATI-EC_ECHO,15,"Europe, regional",true,true
Link Community Development International,,,,,,Link Community Development International,GB-CHC-1048007,21,United Kingdom,true,true
IntraHealth International,,,,,,IntraHealth International,US-EIN-550825466,21,United States,true,true
Feed the Minds,,,,,,Feed the Minds,GB-CHC-291333,21,United Kingdom,true,true
marysmeals,,,,,,marysmeals,GB-SC-SCO45223,21,United Kingdom,true,true
Karuna Trust,,,,,,Karuna Trust,GB-CHC-327461,21,United Kingdom,,true
EMMS International,,,,,,EMMS International,GB-SC-SC032327,21,United Kingdom,true,true
Agência de Desenvolvimento do Vale do Zambeze,,,,,,Agência de Desenvolvimento do Vale do Zambeze,XI-IATI-ADVZ,10,Mozambique,,true
AgriProFocus,,,,,,AgriProFocus,NL-KVK-30204842,60,Netherlands,true,true
BasicNeeds,,,,,,BasicNeeds,GB-CHC-1079599,21,United Kingdom,true,true
WASH Alliance International,,,,,,WASH Alliance International,XI-IATI-WAI,21,Netherlands,true,true
Solidaridad,,,,,,Solidaridad,NL-KVK-51756811,21,Netherlands,true,true
Centre for Economic Policy Research,,,,,,Centre for Economic Policy Research,GB-CHC-287287,22,United Kingdom,true,true
Canada Department of Finance / Ministère des Finances Canada,,,,,,Canada Department of Finance / Ministère des Finances Canada,CA-4,10,Canada,true,true
Dorcas Aid International,,,,,,Dorcas Aid International,NL-KVK-41236410,21,Netherlands,true,true
COC Nederland,,,,,,COC Nederland,NL-KVK-40530156,22,Netherlands,,true
Forests Monitor,,,,,,Forests Monitor,GB-COH-3008440,21,United Kingdom,true,true
Union of Agricultural Work Committees,,,,,,Union of Agricultural Work Committees,PS-MOI-RA-22220-A,22,"Palestinian Territory, Occupied",,true
Inter-American Development Bank,,,,,,Inter-American Development Bank,XI-IATI-IADB,40,"America, regional",,true
The Joint United Nations Programme on HIV and AIDS (UNAIDS) Secretariat,,,,,,The Joint United Nations Programme on HIV and AIDS (UNAIDS) Secretariat,XM-DAC-41110,40,Switzerland,true,true
United Nations Development Programme (UNDP),,,,,,United Nations Development Programme (UNDP),XM-DAC-41114,40,,true,true
Amref Health Africa in Ethiopia,,,,,,Amref Health Africa in Ethiopia,ET-MFA-0001989741,21,Ethiopia,true,true
RNW Media,,,,,,RNW Media,NL-KVK-32022621,21,,true,true
The Global Alliance for Improved Nutrition,,,,,,The Global Alliance for Improved Nutrition,30001,21,Switzerland,true,true
UK - Scottish Government,,,,,,UK - Scottish Government,GB-GOV-21,10,United Kingdom,,true
Survivors Fund (SURF),,,,,,Survivors Fund (SURF),GB-CHC-1065705,21,United Kingdom,,true
ZOA,,,,,,ZOA,NL-KVK-41009723,21,Netherlands,true,true
TechnoServe,,,,,,TechnoServe,US-EIN-13-2626135,21,United States,,true
Denmark - Danida - Danish Ministry of Foreigh Affairs,,,,,,Denmark - Danida - Danish Ministry of Foreigh Affairs,DK-1,10,Denmark,true,true
dance4life,,,,,,dance4life,NL-KVK-34197379,21,Netherlands,,true
SOS Children's Villages The Netherlands,,,,,,SOS Children's Villages The Netherlands,NL-KVK-41197577,60,Netherlands,,true
Spain - Ministry of Foreign Affairs and Cooperation,,,,,,Spain - Ministry of Foreign Affairs and Cooperation,ES-DIR3-E04585801,10,Spain,,true
Hospice Africa Ltd,,,,,,Hospice Africa Ltd,GB-CHC-1024903,80,United Kingdom,true,true
Afghanistan Public Policy Research Organization (APPRO),,,,,,Afghanistan Public Policy Research Organization (APPRO),AF-MOE-1212,80,Afghanistan,true,true
Bees Abroad UK,,,,,,Bees Abroad UK,GB-CHC-1108464,21,United Kingdom,,true
United Nations Central Emergency Response Fund (CERF),,,,,,United Nations Central Emergency Response Fund (CERF),XM-OCHA-CERF,40,United States,,true
The Freedom Fund,,,,,,The Freedom Fund,GB-COH-1158838,21,United Kingdom,true,true
International Medical Corps UK,,,,,,International Medical Corps UK,GB-CHC-1093861,21,United Kingdom,true,true
Youth Net and Counselling - YONECO,,,,,,Youth Net and Counselling - YONECO,MW-CNM-C076-1999,22,Malawi,true,true
Friends of the Earth-Ghana,,,,,,Friends of the Earth-Ghana,GH-DSW-258,22,Ghana,true,true
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo,,,,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo,XM-DAC-6-4,10,Italy,true,true
BSR,,,,,,BSR,US-EIN-52-1764268,21,United States,true,true
International Treatment Preparedness Coalition (ITPC),,,,,,International Treatment Preparedness Coalition (ITPC),BW-CIPA-CO20151011,21,Botswana,,true
World Health Organization,,,,,,World Health Organization,XM-DAC-928,40,Switzerland,true,true
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',,,,,,Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',NL-KVK-41152832,80,Netherlands,,true
Aktis Strategy Ltd,,,,,,Aktis Strategy Ltd,GB-COH-08327972,70,United Kingdom,true,true
Miscellaneous,,,,,,Miscellaneous,XM-DAC-69-99,,,true,false
